Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1,479,479,479,0.00,0.000%,2.08768,1.81,0.48,887.0
TOTAL,1,479,479,479,0.00,0.000%,2.08768,1.81,0.48,887.0
