Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,5,401,401,401,0.00,40.000%,12.46883,10.30,2.88,846.0
TOTAL,5,401,401,401,0.00,40.000%,12.46883,10.30,2.88,846.0
